"ID","Author Name","Author Channel URL","Public","Published","Comment","Likes","Comment URL"
"UgzanoaqZh0E4-kaGtd4AaABAg","SkepticalGarbage","https://www.youtube.com/channel/UC2tcW_XwYs6doYmpM-MAXiA","true","2020-03-18 11:13:20","earphone jack :(","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgzanoaqZh0E4-kaGtd4AaABAg"
"Ugz-PIT0IBDEtNIG_J14AaABAg","Noah Jonas","https://www.youtube.com/channel/UC2t2as0RLzHFe2MEOwm0rRw","true","2020-03-18 11:13:20","actually u didnt re imagine in u copied motorola","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugz-PIT0IBDEtNIG_J14AaABAg"
"UgxbhX5yJ-2FMlGg4XB4AaABAg","Hong Duc Pham","https://www.youtube.com/channel/UCJbnOcLQKJ7NtKfHlPms1ew","true","2020-03-18 11:13:20","Apple be like: OH ****","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgxbhX5yJ-2FMlGg4XB4AaABAg"
"UgwYF5FINoDsgNujLWl4AaABAg","GOLDEN EAGLE","https://www.youtube.com/channel/UCmAZog5WW9HJOB3iTg20XiQ","true","2020-03-18 11:13:20","Samsung BOOOOOM 👍👍👍👍👍👍👍","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgwYF5FINoDsgNujLWl4AaABAg"
"UgzduAQa4Ha1MMo9W194AaABAg","MrSwag VsMrKrabs","https://www.youtube.com/channel/UC6vvNbM_7n6xV94vy9ezzlA","true","2020-03-18 11:13:20","so a copy of the motorola razr 2020","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgzduAQa4Ha1MMo9W194AaABAg"
"UgzXqFisatEBrshrz7h4AaABAg","Pijush A Sinha","https://www.youtube.com/channel/UCqX7ialWLILSuMpepTPGz5A","true","2020-03-18 11:13:20","Samsung Z, more of Samsung L.","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgzXqFisatEBrshrz7h4AaABAg"
"UgycjSBjwa6gPr00YbV4AaABAg","nihaomax","https://www.youtube.com/channel/UCdv_8N3091ARN2jCshuIc5g","true","2020-03-18 11:13:20","Haha, the war has began! Razr vs. Flip. But, i’ve found that now the galaxy note’s cell phones are cheaper than yesterday. https://amzn.to/2tQCGhh","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgycjSBjwa6gPr00YbV4AaABAg"
"Ugx0hqe7_A5ZRP5QgIN4AaABAg","Amit kumar","https://www.youtube.com/channel/UCPjzwMB6N0vNuk5ntDrOJCA","true","2020-03-18 11:13:20","Bad guy","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugx0hqe7_A5ZRP5QgIN4AaABAg"
"UgxoMpieGxxnjUQxdV14AaABAg","slowpoke","https://www.youtube.com/channel/UCOJ4wyo2amgKauwctyQLnRA","true","2020-03-18 11:13:20","Too early to do april mop","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgxoMpieGxxnjUQxdV14AaABAg"
"UgypJWcc_S4r2HyHDm94AaABAg","mojonaw","https://www.youtube.com/channel/UCsPfnEVP-tidiXA6MmjdmaQ","true","2020-03-18 11:13:20","weird flex but ok","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgypJWcc_S4r2HyHDm94AaABAg"
"UgwrsmqmlQ5VYqhB8xt4AaABAg","Andres Perez","https://www.youtube.com/channel/UCGccAzXaaqOTTaU2loajkgA","true","2020-03-18 11:13:20","I feel a litlle bit of misogyny un this particular phone... Girls only care about make up and Photos? Really? Ps i'm a man and like this phone thats mean i'm gay?","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgwrsmqmlQ5VYqhB8xt4AaABAg"
"Ugzot6EDsqEldyfwLTZ4AaABAg","Nicolás matteucci","https://www.youtube.com/channel/UC0Kvgm_9_KfSfB7-QWINIVg","true","2020-03-18 11:13:20","Shouldn't be called V flip instead of Z flip?","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugzot6EDsqEldyfwLTZ4AaABAg"
"Ugzo7aBCe94B1MeXpx54AaABAg","Meherunnessa Raìsa","https://www.youtube.com/channel/UCAeX0pqO-2XXLHaWZgRF9tQ","true","2020-03-18 11:13:20","Yes the Billie eilish bad guy","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugzo7aBCe94B1MeXpx54AaABAg"
"UgwE0mry4WPQoVdREWN4AaABAg","Gautam Gill","https://www.youtube.com/channel/UCLyAsXatlEIjm2iLi_ln8yA","true","2020-03-18 11:13:20","Pehla di insert hoyi pat nhi bhara jo for lay aaye","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgwE0mry4WPQoVdREWN4AaABAg"
"Ugxarrr_P2DavkO_dcV4AaABAg","GOURAV GHOSH","https://www.youtube.com/channel/UCdGAoDr_L4fiD_UEslaVLag","true","2020-03-18 11:13:20","Every Moto lover be like:-hahahahahaahahahah","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugxarrr_P2DavkO_dcV4AaABAg"
"Ugwkl7eqIhAtjZaHtZ14AaABAg","Sonodietrodithe4 iltuoincubopeggiore","https://www.youtube.com/channel/UCOtRTlPYJda7Uk9bkHTlD_w","true","2020-03-18 11:13:20","I'm afaraid that this will scratch at level 2 with deeper grooves at level 3","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=Ugwkl7eqIhAtjZaHtZ14AaABAg"
"UgyLk7Cg8eYqpccmooR4AaABAg","Gunjan t","https://www.youtube.com/channel/UCmiuOMgdqABHj2KGFcb6kXA","true","2020-03-18 11:13:20","I want it so badly","0","https://www.youtube.com/watch?v=Sx9ibZLwVNE&lc=UgyLk7Cg8eYqpccmooR4AaABAg"
